Loss,Accuracy
0.023595,0.924726
0.042858,0.849345
0.060417,0.774197
0.076758,0.702555
0.092107,0.641561
0.106645,0.587647
0.120558,0.539118
0.133598,0.497308
0.145852,0.462474
0.157745,0.433351
0.169384,0.408609
0.180756,0.38752
0.191858,0.369303
0.202901,0.353214
0.213819,0.338866
0.224741,0.325979
0.235606,0.314466
0.246357,0.304032
0.257082,0.294614
0.267601,0.286074
0.278105,0.278297
0.288264,0.271159
0.298238,0.264605
0.308161,0.258581
0.318085,0.253032
0.32812,0.247865
0.338033,0.24304
0.347881,0.238575
0.357633,0.234394
0.367388,0.2305
0.377074,0.226842
0.386752,0.223406
0.39642,0.220191
0.406003,0.217153
0.415548,0.21428
0.425133,0.211533
0.434683,0.20891
0.444218,0.20641
0.453647,0.204031
0.463101,0.201745
0.472539,0.199555
0.481943,0.197487
0.491278,0.195516
0.500642,0.193653
0.509961,0.191867
0.519261,0.19016
0.528605,0.188526
0.537886,0.186954
0.547151,0.185438
0.55638,0.18398
0.565585,0.182581
0.574809,0.181232
0.583961,0.179931
0.593198,0.178676
0.602359,0.177458
0.611481,0.176279
0.620644,0.175134
0.629741,0.174029
0.638834,0.17296
0.647901,0.171929
0.65698,0.170926
0.666063,0.169951
0.675099,0.169004
0.684126,0.168083
0.693134,0.167187
0.702174,0.166313
0.711206,0.165459
0.720248,0.164627
0.729224,0.163818
0.738243,0.163032
0.747198,0.162264
0.756163,0.161515
0.765063,0.160779
0.774009,0.160064
0.782902,0.159362
0.791795,0.158674
0.800692,0.158001
0.809526,0.157341
0.818342,0.156698
0.827169,0.156069
0.83601,0.155448
0.844861,0.154837
0.853715,0.154236
0.862533,0.153646
0.871302,0.153067
0.880094,0.152497
0.888856,0.151934
0.897641,0.151382
0.906429,0.15084
0.915184,0.150306
0.923926,0.149781
0.93276,0.149262
0.941529,0.14875
0.950347,0.148248
0.959084,0.147755
0.967812,0.147272
0.976548,0.146798
0.985253,0.146331
0.993977,0.145873
1.00437,0.145422
1.01826,0.144976
