1,0.001,2000
Loss,Accuracy
0.013924,0.924821
0.027857,0.849608
0.04103,0.774567
0.053464,0.703046
0.065105,0.642043
0.07611,0.588101
0.086548,0.539555
0.096459,0.497751
0.105859,0.462895
0.114725,0.433711
0.123165,0.408935
0.131201,0.38783
0.138992,0.369585
0.146966,0.353495
0.154504,0.339132
0.161924,0.326242
0.169239,0.3147
0.176505,0.304262
0.183778,0.294832
0.190902,0.286285
0.198415,0.278494
0.205407,0.271344
0.212359,0.264781
0.219216,0.258751
0.22607,0.25319
0.232887,0.248015
0.239762,0.243188
0.246554,0.238722
0.253302,0.234535
0.260016,0.230633
0.266747,0.226965
0.27343,0.223526
0.280055,0.220306
0.286637,0.217263
0.293895,0.214386
0.300433,0.211634
0.306966,0.209005
0.313492,0.206502
0.319977,0.204119
0.326453,0.201829
0.332926,0.199638
0.33981,0.197566
0.346257,0.195594
0.352682,0.193726
0.359106,0.191937
0.365495,0.190229
0.371882,0.188596
0.378263,0.187021
0.384728,0.185504
0.391504,0.184044
0.397859,0.182644
0.404258,0.181295
0.410575,0.179992
0.416894,0.178734
0.423208,0.177515
0.429496,0.176334
0.43584,0.175186
0.442513,0.174081
0.448778,0.173011
0.45501,0.171976
0.461252,0.170971
0.467463,0.169997
0.473668,0.169048
0.47988,0.168126
0.486091,0.167229
0.492674,0.166354
0.498854,0.1655
0.505097,0.164667
0.511295,0.163856
0.517474,0.163068
0.523645,0.1623
0.529815,0.161548
0.535983,0.160812
0.542781,0.160096
0.549013,0.159394
0.555154,0.158707
0.561252,0.158032
0.567339,0.157373
0.57344,0.156729
0.579527,0.156099
0.585614,0.155478
0.591719,0.154866
0.597812,0.154264
0.603978,0.153672
0.610034,0.153092
0.616105,0.152522
0.622246,0.151959
0.628314,0.151406
0.634359,0.150863
0.640739,0.150329
0.646778,0.149803
0.652823,0.149284
0.658844,0.148771
0.664868,0.148268
0.670966,0.147775
0.67699,0.147291
0.683011,0.146817
0.689041,0.14635
0.69553,0.145892
0.701522,0.14544
0.707524,0.144995
0.713529,0.144555
0.719531,0.144123
0.725539,0.143698
0.731548,0.143278
0.737543,0.142865
