index,Cross Entropy,Accuracy
0,1.00016,0.485278,0.045848
1,0.770028,0.925007,0.090848
2,0.650193,0.930392,0.135882
3,0.574,0.93637,0.181001
4,0.520077,0.940717,0.226174
5,0.479393,0.94383,0.271073
6,0.447341,0.945509,0.316397
7,0.421282,0.946843,0.361425
8,0.39958,0.948523,0.406356
9,0.381158,0.949313,0.451477
10,0.365275,0.950598,0.496623
11,0.351404,0.951734,0.541651
12,0.339157,0.953216,0.586735
13,0.328241,0.954204,0.631813
14,0.318435,0.955044,0.676901
15,0.309561,0.955489,0.721998
16,0.301482,0.955983,0.767025
17,0.294085,0.956477,0.811995
18,0.287278,0.957218,0.857292
19,0.280987,0.958107,0.902491
20,0.275149,0.958403,0.94759
21,0.269711,0.95949,0.99309
22,0.26463,0.959984,1.0414
23,0.259866,0.960429,1.08633
24,0.255389,0.960775,1.13144
25,0.251168,0.961466,1.17661
26,0.247181,0.961763,1.22156
27,0.243406,0.962257,1.26665
28,0.239823,0.962652,1.31179
29,0.236418,0.963146,1.35692
30,0.233174,0.963344,1.40212
31,0.23008,0.96364,1.44726
32,0.227124,0.963788,1.49234
33,0.224294,0.964183,1.5374
34,0.221583,0.964529,1.58249
35,0.218982,0.964974,1.6276
36,0.216482,0.965369,1.67257
37,0.214078,0.965616,1.71776
38,0.211763,0.965863,1.76303
39,0.209531,0.966159,1.80807
40,0.207378,0.966604,1.85322
41,0.205298,0.96695,1.89845
42,0.203287,0.967246,1.94341
43,0.201341,0.967444,1.9883
44,0.199457,0.96774,2.03349
45,0.197631,0.967987,2.07871
46,0.195859,0.968234,2.12364
47,0.19414,0.968432,2.16867
48,0.192471,0.968679,2.21367
49,0.190848,0.968728,2.25871
50,0.18927,0.968975,2.30393
51,0.187734,0.969222,2.34901
52,0.186238,0.969519,2.39402
53,0.184782,0.969716,2.43907
54,0.183362,0.969963,2.48406
55,0.181977,0.970112,2.52936
56,0.180625,0.970161,2.57447
57,0.179306,0.970507,2.61918
58,0.178017,0.970803,2.66381
59,0.176759,0.971001,2.70825
60,0.175528,0.9711,2.75276
61,0.174324,0.971396,2.79713
62,0.173147,0.971594,2.84193
63,0.171994,0.97189,2.88642
64,0.170866,0.971989,2.93079
65,0.169761,0.972137,2.97529
66,0.168678,0.972434,3.0225
67,0.167617,0.972582,3.06813
68,0.166576,0.972631,3.11241
69,0.165556,0.972878,3.15691
70,0.164554,0.972878,3.20158
71,0.163572,0.973026,3.24602
72,0.162607,0.973125,3.29052
73,0.16166,0.973323,3.33561
74,0.16073,0.973619,3.3801
75,0.159816,0.973718,3.42445
76,0.158918,0.973817,3.46922
77,0.158035,0.973916,3.51377
78,0.157167,0.974014,3.55823
79,0.156314,0.974212,3.60278
80,0.155474,0.97436,3.64732
81,0.154648,0.974459,3.69203
82,0.153835,0.974508,3.73663
83,0.153034,0.974607,3.78116
84,0.152247,0.974657,3.82556
85,0.151471,0.974706,3.8702
86,0.150707,0.974805,3.91468
87,0.149954,0.975002,3.95926
88,0.149212,0.975101,4.00382
89,0.148481,0.975249,4.04837
90,0.147761,0.975398,4.093
91,0.14705,0.975447,4.13739
92,0.14635,0.975595,4.18182
93,0.145659,0.975645,4.22623
94,0.144978,0.975793,4.27086
95,0.144306,0.975941,4.31549
96,0.143643,0.97604,4.35998
97,0.142989,0.976188,4.40456
98,0.142343,0.976188,4.44894
99,0.141706,0.976188,4.49345
100,0.141077,0.976238,4.53799
101,0.140456,0.976238,4.58251
102,0.139842,0.976386,4.62683
103,0.139236,0.976485,4.67143
104,0.138638,0.976732,4.71583
105,0.138047,0.97683,4.76052
106,0.137462,0.976929,4.80495
107,0.136885,0.977077,4.84934
108,0.136315,0.977176,4.89402
109,0.135751,0.977324,4.93869
110,0.135194,0.977423,4.98304
111,0.134643,0.977522,5.03074
112,0.134098,0.97772,5.07598
113,0.13356,0.977818,5.12031
114,0.133027,0.978016,5.16493
115,0.132501,0.978016,5.20935
116,0.13198,0.978214,5.25382
117,0.131464,0.978312,5.29829
118,0.130954,0.978461,5.34288
119,0.13045,0.978609,5.38755
120,0.129951,0.978609,5.43208
121,0.129457,0.978658,5.47658
122,0.128968,0.978856,5.521
123,0.128484,0.978905,5.56564
124,0.128005,0.979004,5.61
125,0.127531,0.979004,5.65444
126,0.127062,0.979103,5.69903
127,0.126597,0.97935,5.74375
128,0.126137,0.97935,5.78831
129,0.125681,0.979449,5.83276
130,0.12523,0.979646,5.87731
131,0.124783,0.979696,5.92183
132,0.12434,0.979696,5.96635
133,0.123901,0.979745,6.01068
134,0.123467,0.979844,6.05506
135,0.123036,0.979893,6.09982
136,0.12261,0.979943,6.14423
137,0.122187,0.979992,6.1888
138,0.121769,0.980041,6.23321
139,0.121354,0.980041,6.27783
140,0.120942,0.980091,6.32245
141,0.120535,0.98014,6.36724
142,0.120131,0.98019,6.41169
143,0.11973,0.980387,6.45622
144,0.119333,0.980437,6.50101
145,0.118939,0.980585,6.54562
146,0.118549,0.980634,6.59026
147,0.118162,0.980634,6.63458
148,0.117778,0.980634,6.67936
149,0.117398,0.980733,6.7238
150,0.117021,0.980832,6.76852
151,0.116647,0.98098,6.81319
152,0.116275,0.981079,6.85756
153,0.115907,0.981128,6.90213
154,0.115542,0.981128,6.94655
155,0.11518,0.981178,6.99125
156,0.114821,0.981277,7.03556
157,0.114464,0.981326,7.08027
158,0.114111,0.981375,7.1246
159,0.11376,0.981474,7.16918
160,0.113412,0.981622,7.21372
161,0.113066,0.981672,7.25827
162,0.112723,0.98182,7.30312
163,0.112383,0.98182,7.34765
164,0.112046,0.98182,7.39236
165,0.111711,0.981869,7.4369
166,0.111378,0.982018,7.48139
167,0.111048,0.982116,7.52611
168,0.110721,0.982166,7.5705
169,0.110395,0.982215,7.61486
170,0.110073,0.982265,7.65962
171,0.109752,0.982265,7.70415
172,0.109434,0.982265,7.74873
173,0.109118,0.982314,7.79338
174,0.108805,0.982462,7.83786
175,0.108493,0.982462,7.88252
176,0.108184,0.982462,7.9269
177,0.107877,0.982462,7.97159
178,0.107573,0.982462,8.01596
179,0.10727,0.982561,8.06049
180,0.106969,0.98261,8.10521
181,0.106671,0.98266,8.14963
182,0.106374,0.982808,8.19488
183,0.10608,0.982956,8.24251
184,0.105787,0.983104,8.28704
185,0.105497,0.983154,8.33168
186,0.105208,0.983253,8.37624
187,0.104922,0.983253,8.42084
188,0.104637,0.983302,8.46544
189,0.104354,0.983351,8.51001
190,0.104073,0.983401,8.55471
191,0.103794,0.983401,8.59911
192,0.103517,0.98345,8.6437
193,0.103241,0.983549,8.68835
194,0.102968,0.983598,8.73289
195,0.102696,0.983598,8.77735
196,0.102425,0.983648,8.82195
197,0.102157,0.983648,8.86645
198,0.10189,0.983648,8.91088
199,0.101625,0.983648,8.95551
200,0.101361,0.983648,9.00004
201,0.101099,0.983747,9.04445
202,0.100839,0.983747,9.08898
203,0.10058,0.983845,9.13368
204,0.100323,0.983895,9.17805
205,0.100068,0.984043,9.22255
206,0.0998137,0.984092,9.26709
207,0.0995612,0.984142,9.31194
208,0.0993103,0.984142,9.35646
209,0.0990609,0.984241,9.40105
210,0.098813,0.984241,9.44557
211,0.0985665,0.984241,9.49009
212,0.0983215,0.984241,9.53454
213,0.098078,0.984389,9.57899
214,0.0978358,0.984488,9.6236
215,0.0975951,0.984488,9.66801
216,0.0973558,0.984636,9.71249
217,0.0971179,0.984685,9.75711
218,0.0968813,0.984735,9.8016
219,0.0966461,0.984685,9.84616
220,0.0964122,0.984784,9.89059
221,0.0961797,0.984883,9.93511
222,0.0959484,0.984982,9.97959
223,0.0957185,0.985031,10.0241
