index,Cross Entropy,Accuracy
0,1.00016,0.471544,0.016073
1,0.770805,0.876643,0.028998
2,0.651101,0.878075,0.041326
3,0.574879,0.887017,0.053278
4,0.520895,0.88924,0.064863
5,0.480158,0.888351,0.07592
6,0.448047,0.888302,0.086553
7,0.421951,0.887906,0.096799
8,0.40021,0.887659,0.106273
9,0.381759,0.886424,0.115469
10,0.365856,0.887215,0.124463
11,0.351961,0.888499,0.133197
12,0.339688,0.889092,0.141872
13,0.328751,0.89092,0.150562
14,0.318926,0.885239,0.159126
15,0.310035,0.888647,0.167613
16,0.30194,0.892056,0.176122
17,0.294535,0.890031,0.184632
18,0.287715,0.890772,0.19312
19,0.281408,0.893291,0.201895
20,0.275555,0.893736,0.210772
21,0.270103,0.894625,0.219509
22,0.265011,0.897737,0.22823
23,0.260235,0.896552,0.236915
24,0.255746,0.895317,0.24556
25,0.251514,0.89833,0.254255
26,0.247515,0.896354,0.262975
27,0.243729,0.895959,0.271639
28,0.240135,0.898478,0.280334
29,0.236721,0.897046,0.289052
30,0.233473,0.899713,0.297717
31,0.230373,0.900504,0.306393
32,0.227411,0.897935,0.315079
33,0.224576,0.897737,0.323761
34,0.22186,0.898281,0.332449
35,0.219252,0.900949,0.341083
36,0.216748,0.898874,0.349722
37,0.21434,0.900603,0.358376
38,0.212018,0.902233,0.367141
39,0.209783,0.90164,0.375782
40,0.207624,0.900553,0.384416
41,0.205539,0.898627,0.393086
42,0.203525,0.90164,0.401727
43,0.201575,0.900207,0.410397
44,0.199687,0.903913,0.41906
45,0.197858,0.90327,0.427696
46,0.196084,0.903913,0.436358
47,0.194361,0.903221,0.445026
48,0.192688,0.906284,0.45369
49,0.191061,0.904407,0.462404
50,0.189478,0.902184,0.471098
51,0.187941,0.899615,0.479755
52,0.186444,0.899318,0.488458
53,0.184984,0.902085,0.497117
54,0.183563,0.902974,0.505761
55,0.182175,0.901294,0.5144
56,0.180822,0.903715,0.523101
57,0.179501,0.900751,0.531787
58,0.178208,0.904308,0.540457
59,0.176946,0.905444,0.549139
60,0.175714,0.903221,0.557825
61,0.17451,0.905049,0.566519
62,0.17333,0.905889,0.575159
63,0.172174,0.905,0.583815
64,0.171044,0.905296,0.5925
65,0.169937,0.906482,0.60117
66,0.168853,0.903814,0.60985
67,0.167789,0.906086,0.618542
68,0.166748,0.90248,0.627208
69,0.165727,0.902925,0.635852
70,0.164724,0.905988,0.644536
71,0.16374,0.907667,0.653196
72,0.162774,0.907815,0.661915
73,0.161825,0.902974,0.670584
74,0.160893,0.908062,0.679248
75,0.159979,0.90663,0.687939
76,0.159079,0.903764,0.696593
77,0.158195,0.905444,0.70523
78,0.157325,0.907766,0.713858
79,0.156471,0.907766,0.722546
80,0.155629,0.905395,0.731204
81,0.154801,0.909545,0.739869
82,0.153987,0.901739,0.748529
83,0.153185,0.905938,0.757219
84,0.152396,0.90994,0.765942
85,0.15162,0.904308,0.774627
86,0.150854,0.908408,0.783283
87,0.150099,0.904802,0.791943
88,0.149357,0.90658,0.80059
89,0.148625,0.908655,0.809267
90,0.147904,0.905049,0.817951
91,0.147192,0.90826,0.826611
92,0.146491,0.905049,0.835227
93,0.145799,0.908902,0.843896
94,0.145117,0.908013,0.852551
95,0.144444,0.907964,0.861192
96,0.14378,0.909545,0.869871
97,0.143124,0.906827,0.878501
98,0.142478,0.911718,0.887213
99,0.141839,0.90826,0.895861
100,0.141209,0.910582,0.904538
101,0.140587,0.908655,0.913162
102,0.139972,0.909446,0.921794
103,0.139365,0.9091,0.930463
104,0.138765,0.908359,0.939155
