index,Cross Entropy,Accuracy
0,1.00016,0.469222,0.019902
1,0.770962,0.86533,0.031141
2,0.651288,0.868491,0.041602
3,0.575031,0.871554,0.051688
4,0.521019,0.873728,0.061368
5,0.480255,0.878965,0.070693
6,0.448138,0.878075,0.07971
7,0.422035,0.875161,0.088511
8,0.400293,0.877433,0.097149
9,0.381832,0.877532,0.10561
10,0.36591,0.877038,0.113871
11,0.352008,0.874321,0.122023
12,0.339731,0.877631,0.130031
13,0.328793,0.875012,0.137895
14,0.318969,0.874123,0.14574
15,0.310069,0.883263,0.153545
16,0.301971,0.88178,0.161369
17,0.29456,0.877927,0.169221
18,0.287737,0.880496,0.177052
19,0.281432,0.880743,0.184918
20,0.275584,0.880249,0.192813
21,0.270132,0.883757,0.200672
22,0.265038,0.883658,0.208547
23,0.260268,0.884794,0.216392
24,0.255781,0.885288,0.224212
25,0.251556,0.882176,0.23205
26,0.24756,0.88183,0.239868
27,0.243773,0.880694,0.247687
28,0.240184,0.883312,0.255505
29,0.236773,0.885831,0.263338
30,0.233523,0.883855,0.271164
31,0.230422,0.88598,0.278989
32,0.227456,0.879706,0.286807
33,0.22462,0.88677,0.294636
34,0.221902,0.883114,0.302457
35,0.219294,0.884102,0.310274
36,0.216792,0.886227,0.318087
37,0.214379,0.88598,0.32591
38,0.212059,0.885387,0.333731
39,0.209824,0.884695,0.341554
40,0.207669,0.888104,0.349408
41,0.205583,0.888796,0.357367
42,0.203568,0.891117,0.365287
43,0.201618,0.886671,0.373169
44,0.19973,0.89008,0.381017
45,0.1979,0.887264,0.388861
46,0.196128,0.886523,0.396705
47,0.194404,0.890969,0.404549
48,0.192728,0.89008,0.412365
49,0.191101,0.888252,0.420186
50,0.189519,0.888697,0.42801
51,0.187979,0.889981,0.435846
52,0.186479,0.89008,0.443672
53,0.185019,0.889092,0.451519
54,0.183595,0.891019,0.459389
55,0.182209,0.890574,0.467237
56,0.180854,0.89087,0.475048
57,0.17953,0.889092,0.48287
58,0.17824,0.890525,0.490686
59,0.176978,0.895119,0.498532
60,0.175746,0.890278,0.50638
61,0.174539,0.894427,0.514222
62,0.17336,0.890772,0.522036
63,0.172205,0.891216,0.5299
64,0.171073,0.890772,0.537754
65,0.169966,0.897441,0.545582
66,0.16888,0.889833,0.553409
67,0.167817,0.892649,0.561218
68,0.166774,0.894724,0.569053
69,0.165752,0.892106,0.576896
70,0.164749,0.893044,0.584738
71,0.163765,0.892698,0.592563
72,0.162798,0.891661,0.600402
73,0.161848,0.88845,0.608281
74,0.160916,0.893094,0.616133
75,0.16,0.892007,0.623974
76,0.159099,0.892797,0.631845
77,0.158214,0.89255,0.639687
78,0.157344,0.892106,0.647489
79,0.156489,0.89176,0.655323
80,0.155647,0.892847,0.663172
81,0.154819,0.894773,0.67105
82,0.154004,0.891957,0.678902
83,0.153203,0.890426,0.686764
84,0.152414,0.893637,0.694614
85,0.151636,0.893242,0.702467
86,0.150871,0.898478,0.710307
87,0.150116,0.898478,0.718145
88,0.149373,0.896305,0.725986
89,0.14864,0.89833,0.733846
90,0.147919,0.891661,0.741695
91,0.147208,0.895959,0.749528
92,0.146506,0.897095,0.757373
93,0.145814,0.89507,0.765218
94,0.145131,0.894971,0.773089
95,0.144458,0.896404,0.780912
96,0.143795,0.890673,0.78877
97,0.14314,0.892106,0.796615
98,0.142494,0.889339,0.80445
99,0.141856,0.897441,0.81229
100,0.141227,0.894674,0.820119
101,0.140604,0.895662,0.827939
102,0.139989,0.892797,0.835789
103,0.139382,0.899664,0.843594
104,0.138783,0.892847,0.851428
105,0.13819,0.894032,0.859238
106,0.137606,0.892303,0.867088
107,0.137028,0.896107,0.874934
108,0.136456,0.898231,0.882791
109,0.135892,0.895465,0.890644
110,0.135333,0.9008,0.898476
111,0.134781,0.897639,0.906314
112,0.134236,0.896305,0.914163
113,0.133696,0.896749,0.922001
114,0.133163,0.895317,0.929824
