index,Cross Entropy,Accuracy
0,1.00016,0.472928,0.018667
1,0.770875,0.88099,0.033765
2,0.651081,0.88267,0.047769
3,0.574826,0.889685,0.060897
4,0.520847,0.889635,0.073441
5,0.480125,0.892353,0.085447
6,0.448005,0.895514,0.0971
7,0.42193,0.893143,0.108478
8,0.400187,0.895613,0.119443
9,0.38173,0.894378,0.130144
10,0.36582,0.895218,0.140571
11,0.351924,0.89749,0.150919
12,0.339655,0.897145,0.161144
13,0.328718,0.897046,0.171366
14,0.318889,0.898627,0.18158
15,0.309994,0.900059,0.19186
16,0.301899,0.899219,0.202096
17,0.294484,0.899812,0.212313
18,0.287661,0.901986,0.222494
19,0.281356,0.898972,0.232715
20,0.275507,0.902282,0.243002
21,0.27006,0.906432,0.253236
22,0.264963,0.903517,0.263439
23,0.26019,0.903814,0.27363
24,0.255703,0.903172,0.283852
25,0.251474,0.904258,0.294037
26,0.247482,0.906432,0.304199
27,0.243701,0.905098,0.314361
28,0.240109,0.903616,0.324523
29,0.236696,0.905642,0.334803
30,0.233442,0.908803,0.345081
31,0.230342,0.908062,0.355294
32,0.227379,0.907223,0.365479
33,0.224543,0.907865,0.375709
34,0.221828,0.907964,0.385862
35,0.219222,0.909347,0.39609
36,0.216719,0.905395,0.406302
37,0.21431,0.906086,0.416597
38,0.211989,0.910335,0.426843
39,0.209752,0.912459,0.437063
40,0.207594,0.909545,0.447269
41,0.205511,0.91236,0.457496
42,0.203497,0.908754,0.467731
43,0.201548,0.909643,0.477902
44,0.199662,0.906136,0.488089
45,0.197834,0.912607,0.498264
46,0.196061,0.908161,0.508512
47,0.19434,0.910434,0.518728
48,0.192668,0.912015,0.528983
49,0.191043,0.911422,0.53926
50,0.189464,0.909841,0.549509
51,0.187927,0.90989,0.559779
52,0.18643,0.912015,0.569952
53,0.184971,0.913595,0.58028
54,0.183549,0.912064,0.590539
55,0.182162,0.911471,0.600782
56,0.180808,0.91078,0.611007
57,0.179488,0.911817,0.621273
58,0.178197,0.912311,0.631499
59,0.176937,0.914337,0.641877
60,0.175705,0.916757,0.652908
61,0.174498,0.916856,0.66345
62,0.173319,0.912212,0.673866
63,0.172165,0.912756,0.684169
64,0.171036,0.915325,0.694403
65,0.169928,0.916115,0.704648
66,0.168842,0.913892,0.714891
67,0.16778,0.914188,0.725128
68,0.166738,0.915176,0.73533
69,0.165717,0.912657,0.745608
70,0.164714,0.915621,0.755872
71,0.163731,0.915028,0.766037
72,0.162766,0.913546,0.776206
