Accuracy,Loss
1,0.01
0.923328,0.914908
0.925501,0.838393
0.925501,0.762622
0.925254,0.694501
0.924958,0.635236
0.924662,0.582272
0.925748,0.535032
0.926292,0.49452
0.927329,0.460677
0.929157,0.432018
0.932023,0.407822
0.933999,0.387133
0.935975,0.369083
0.93805,0.352894
0.939433,0.338594
0.941162,0.32569
0.942595,0.314098
0.943336,0.303561
0.944274,0.294091
0.945015,0.285564
0.945954,0.277725
0.946547,0.270557
0.946744,0.26393
0.947288,0.257793
0.947683,0.252073
0.948177,0.246821
0.948869,0.241886
0.949511,0.237305
0.949956,0.233135
0.950697,0.22908
0.951191,0.225299
0.951882,0.221826
0.951882,0.218606
0.952179,0.215552
0.952327,0.21264
0.952623,0.209796
0.952821,0.207135
0.953167,0.204584
0.953414,0.202168
0.954007,0.199858
640834,677399,0.946021
0.954451,0.197609
0.954698,0.195505
0.955044,0.193525
0.955291,0.191593
0.955538,0.189732
0.955884,0.18801
0.956131,0.186319
0.956477,0.184684
0.956773,0.183139
0.95702,0.18164
0.957316,0.180199
0.957563,0.178821
0.958008,0.177464
0.958453,0.176177
0.9587,0.174963
0.959243,0.173759
0.959391,0.172617
0.959737,0.171475
0.959737,0.170404
0.960231,0.169338
0.960132,0.168298
0.960182,0.167313
0.960478,0.166368
0.960626,0.165426
0.960923,0.164499
0.961022,0.163602
0.961367,0.162725
0.961664,0.161873
0.961861,0.161059
0.96201,0.160254
0.962257,0.159461
0.962355,0.158688
0.962355,0.157938
0.962652,0.157195
0.96285,0.15649
0.962998,0.155794
0.963047,0.155129
0.963591,0.154473
0.963689,0.153812
0.963986,0.153166
645264,677399,0.952561
0.963986,0.152528
0.964233,0.151883
0.964381,0.151261
0.96448,0.150645
0.964677,0.150061
0.964776,0.149482
0.964974,0.148903
0.965122,0.148339
0.965171,0.147765
0.965418,0.147218
0.965468,0.146682
0.965517,0.146149
0.965665,0.145628
0.965814,0.145135
0.965962,0.144631
0.966159,0.144151
0.966357,0.143681
0.966505,0.143181
0.966505,0.142711
0.966555,0.142255
0.966703,0.141806
0.966851,0.141344
0.96695,0.140911
0.96695,0.140478
0.96695,0.140038
0.967049,0.139608
0.967098,0.139195
0.967148,0.13878
0.967049,0.138385
0.967246,0.137989
0.967493,0.137592
0.967642,0.137217
0.967691,0.136832
0.967938,0.136459
0.968086,0.136089
0.968284,0.135725
0.968383,0.135373
0.968432,0.135017
0.968531,0.13467
0.96863,0.134326
647549,677399,0.955934
0.968728,0.133985
0.968926,0.133657
0.968926,0.133337
0.969025,0.133007
0.969074,0.132684
0.969025,0.13236
0.969074,0.13205
0.969074,0.131744
0.969222,0.131439
0.969321,0.131137
0.969321,0.130836
0.969371,0.130543
0.969469,0.130246
0.96942,0.129962
0.969469,0.129671
0.969568,0.129383
0.969568,0.129105
0.969618,0.128833
0.969716,0.128558
0.969766,0.12828
0.969815,0.128014
0.969914,0.127745
0.970112,0.127485
0.970161,0.127226
0.970309,0.126968
0.970309,0.126721
0.970408,0.126467
0.970556,0.126212
0.970556,0.125971
0.970803,0.125734
0.9711,0.125506
0.971198,0.125263
0.971248,0.125031
0.971198,0.124797
0.971198,0.124566
0.971248,0.124343
0.971297,0.124116
0.971347,0.123888
0.971446,0.12366
0.971495,0.123439
648984,677399,0.958053
0.971643,0.123216
0.971643,0.123
0.971693,0.122797
0.971791,0.122592
0.971693,0.122375
0.971742,0.122166
0.971742,0.121948
0.971841,0.121747
0.971841,0.121537
0.97194,0.121332
0.972236,0.121135
0.972434,0.120936
0.972434,0.120748
0.972483,0.120555
0.972532,0.120357
0.972582,0.120167
0.972532,0.119973
0.97273,0.119781
0.97273,0.119595
0.972878,0.119412
0.972977,0.119241
0.972977,0.11906
0.973125,0.118885
0.973273,0.118711
0.973471,0.118543
0.973669,0.118377
0.973619,0.118212
0.973718,0.118044
0.973817,0.117886
0.973965,0.11772
0.973916,0.117554
0.973965,0.117391
0.974014,0.117245
0.974014,0.117078
0.974014,0.116924
0.974064,0.116767
0.974014,0.116612
0.97436,0.11646
0.97436,0.116306
0.97441,0.116164
649757,677399,0.959194
0.974558,0.116019
0.974607,0.115876
0.974657,0.115723
0.974706,0.115582
0.974755,0.115438
0.974805,0.115302
0.974854,0.115165
0.974953,0.11503
0.975052,0.114891
0.975101,0.114759
0.975101,0.114623
0.9752,0.11449
0.975249,0.114362
0.9752,0.114227
0.975299,0.114092
0.975348,0.11396
0.975348,0.113827
0.975496,0.113698
0.975546,0.113571
0.975645,0.113444
0.975645,0.11332
0.975744,0.113198
0.975793,0.113076
0.975793,0.112956
0.975744,0.112831
0.975744,0.112709
0.975842,0.112591
0.975941,0.112478
0.975991,0.112355
0.975991,0.112245
0.976139,0.112131
0.976139,0.112017
0.976188,0.11191
0.976336,0.111796
0.976336,0.111682
0.976435,0.111565
0.976435,0.111451
0.976386,0.111339
0.976534,0.11123
0.976485,0.111127
650397,677399,0.960139
0.976583,0.111016
0.976583,0.110905
0.976534,0.110797
0.976583,0.110693
0.976633,0.110588
0.976732,0.110485
0.976732,0.110384
0.976732,0.110279
0.97688,0.110181
0.976929,0.110078
0.976979,0.109973
0.976979,0.10987
0.977176,0.109766
0.977226,0.109663
0.977226,0.109562
0.977324,0.109466
0.977324,0.109373
0.977374,0.109282
0.977374,0.109187
0.977324,0.109091
0.977473,0.108995
0.977423,0.108901
0.977473,0.108806
0.977522,0.108714
0.977522,0.108623
0.977522,0.108533
0.977621,0.108443
0.97772,0.108351
0.977571,0.108274
0.97772,0.108183
0.97772,0.108101
0.97772,0.108004
0.977769,0.107919
0.977769,0.107833
0.977769,0.107747
0.977868,0.107656
0.978065,0.107575
0.977967,0.107486
0.978115,0.1074
0.978164,0.107318
650827,677399,0.960773
0.978214,0.107239
0.978263,0.107154
0.978312,0.10707
0.978312,0.106991
0.978362,0.106909
0.978362,0.10683
0.978312,0.106752
0.978411,0.106675
0.978461,0.106597
0.97851,0.106518
0.97851,0.106444
0.978559,0.10637
0.978559,0.106292
0.978559,0.106213
0.978609,0.106137
0.978708,0.106059
0.978757,0.105987
0.978806,0.105911
0.978856,0.105838
0.978856,0.105762
0.978856,0.105692
0.978856,0.105618
0.978905,0.105543
0.978955,0.105477
0.979004,0.105408
0.978955,0.105336
0.979103,0.105267
0.979053,0.105192
0.979103,0.105127
0.979152,0.105059
0.979152,0.10499
0.979202,0.104923
0.979251,0.104853
0.9793,0.104784
0.9793,0.104719
0.97935,0.104649
0.979399,0.104584
0.979449,0.104518
0.979449,0.104454
0.979498,0.104389
651175,677399,0.961287
0.979449,0.104325
0.979498,0.104258
0.979547,0.104191
0.979547,0.104132
0.979646,0.104068
0.979646,0.104006
0.979646,0.103946
0.979646,0.103887
0.979696,0.103823
0.979745,0.103759
0.979745,0.103696
0.979844,0.103635
0.979844,0.103575
0.979844,0.103513
0.979893,0.103453
0.979943,0.103395
0.979943,0.103337
0.979943,0.103278
0.979943,0.10322
0.979992,0.103163
0.979943,0.103104
0.979943,0.103047
0.980041,0.102991
0.980041,0.10294
0.98014,0.102881
0.980289,0.102828
0.980289,0.10277
0.980387,0.102717
0.980387,0.102655
0.980338,0.102605
0.980338,0.102552
0.980338,0.102498
0.980437,0.102442
0.980437,0.10239
0.980437,0.102337
0.980387,0.102285
0.980437,0.102229
0.980387,0.102181
0.980387,0.102125
0.980486,0.102072
651340,677399,0.961531
0.980536,0.102021
0.980536,0.101968
0.980536,0.10192
0.980536,0.10187
0.980536,0.10182
0.980585,0.101772
0.980634,0.101717
0.980684,0.101667
0.980733,0.101621
0.980733,0.101573
0.980783,0.101524
0.980733,0.101475
0.980783,0.101425
0.980783,0.101373
0.980783,0.101329
0.980783,0.101284
0.980832,0.101236
0.980832,0.101191
0.980832,0.101142
0.980832,0.101094
0.980881,0.101051
0.980931,0.101005
0.980931,0.100957
0.98098,0.100912
0.98098,0.100867
0.98103,0.100824
0.98103,0.100779
0.981079,0.100736
0.981079,0.100695
0.981079,0.100649
0.981079,0.100611
0.981079,0.100573
0.981079,0.100523
0.981227,0.100482
0.981277,0.100438
0.981227,0.100394
0.981277,0.100356
0.981277,0.100312
0.981277,0.10027
0.981277,0.100234
651565,677399,0.961863
