1,0.001,30000
Loss,Accuracy
0.924411,0.485278
0.144924,0.966159
0.119348,0.973866
0.108636,0.977621
0.102531,0.98014
0.098623,0.981672
0.0960828,0.982907
0.0941081,0.983994
0.0929484,0.984587
0.0919752,0.985179
0.0909808,0.985575
0.0905117,0.986217
0.0901718,0.986711
0.0899376,0.987155
0.089377,0.987304
0.089205,0.987402
0.089019,0.987402
0.0888413,0.987798
0.0889522,0.987946
0.0888834,0.987995
0.0888476,0.988094
0.088846,0.98839
0.0887562,0.988193
0.0886886,0.988687
0.0883703,0.988588
0.0883068,0.988687
0.0887369,0.988736
0.0883626,0.988835
0.0883148,0.988884
0.0885254,0.988983
0.0882673,0.988934
0.0882767,0.989033
0.0884727,0.989132
0.088299,0.98923
0.0882221,0.98928
0.0886443,0.989181
0.0882479,0.989329
0.0882399,0.989428
0.0881851,0.989379
0.0885128,0.98928
0.0883391,0.989329
0.0883301,0.989428
0.088641,0.989428
0.0882595,0.989428
0.08818,0.989477
0.0884825,0.989428
0.0885519,0.989428
0.0883173,0.989477
0.0882028,0.989477
0.0882476,0.989527
0.0885035,0.989477
0.0882822,0.989527
0.088201,0.989527
0.0882366,0.989527
0.088431,0.989477
0.0883087,0.989527
0.0881757,0.989527
0.0886382,0.989477
0.0882138,0.989576
0.0882858,0.989576
0.0888627,0.989675
0.088243,0.989576
0.0885472,0.989675
0.0887274,0.989675
0.0883746,0.989675
0.0882236,0.989626
0.0882599,0.989576
0.0887887,0.989675
0.0886513,0.989675
0.088184,0.989576
0.088568,0.989675
0.0886598,0.989675
0.0881835,0.989576
0.0887485,0.989675
0.0882759,0.989626
0.0881714,0.989576
0.0886797,0.989675
0.0883367,0.989626
0.0881771,0.989576
0.0885316,0.989675
0.0888795,0.989675
0.0882459,0.989626
0.0882609,0.989675
0.0885838,0.989675
0.0883981,0.989675
0.0881839,0.989626
0.0882393,0.989675
0.0887643,0.989675
0.0883824,0.989675
0.0883177,0.989626
0.0882249,0.989675
0.0885626,0.989675
0.0883606,0.989675
0.0881881,0.989626
0.0886719,0.989675
0.0883435,0.989675
0.0881948,0.989626
0.0883129,0.989675
0.0889152,0.989675
0.0885704,0.989675
0.0883951,0.989675
0.0882099,0.989675
0.0881721,0.989626
0.088697,0.989675
0.0884426,0.989675
0.0883407,0.989626
0.088388,0.989675
0.0884813,0.989675
0.0882599,0.989675
0.0881996,0.989724
0.0884196,0.989527
0.0885782,0.989428
0.0882512,0.989576
0.0882881,0.989576
0.0881789,0.989576
0.088479,0.989576
0.0883812,0.989428
0.0881841,0.989626
0.0883605,0.989576
0.0884159,0.989428
0.0882353,0.989576
0.0884304,0.989576
0.0885752,0.989428
0.088194,0.989576
0.0884215,0.989527
0.0884543,0.989428
0.0882639,0.989576
0.0881852,0.989576
0.0885,0.989527
0.0886065,0.989477
0.0882771,0.989576
0.0882281,0.989576
0.0884667,0.989477
0.0884078,0.989428
0.0881776,0.989626
0.0884392,0.989576
0.0885925,0.989428
0.0883395,0.989477
0.0883627,0.989477
0.0881772,0.989576
0.0884646,0.989477
0.0884684,0.989428
0.0881845,0.989576
0.0882342,0.989576
0.0884306,0.989527
0.0885366,0.989428
0.0882065,0.989576
0.0883416,0.989527
0.0884853,0.989428
0.0881884,0.989576
0.0884543,0.989527
0.0885685,0.989428
0.0883954,0.989428
0.0881923,0.989576
0.0885139,0.989576
0.0885024,0.989428
0.0882347,0.989576
0.0881938,0.989576
0.0882108,0.989576
0.0883856,0.989527
0.0886639,0.989428
0.0882479,0.989576
0.0881952,0.989576
0.0881928,0.989576
0.08845,0.989477
0.0884376,0.989428
0.0882397,0.989576
0.0884168,0.989576
0.0885976,0.989428
0.0882215,0.989576
0.0882654,0.989527
0.0882958,0.989576
0.0884299,0.989428
0.0881866,0.989576
0.0884011,0.989576
0.0886157,0.989428
0.0884315,0.989428
0.0882434,0.989576
0.0881833,0.989626
0.088469,0.989477
0.0883948,0.989428
0.0881849,0.989626
0.0883864,0.989576
0.0885629,0.989477
0.088358,0.989477
0.0882105,0.989626
0.088474,0.989576
0.088683,0.989428
0.0883556,0.989477
0.0882534,0.989576
0.0884793,0.989477
0.0886217,0.989428
0.0881889,0.989576
0.0885528,0.989527
0.0884662,0.989428
0.0882662,0.989576
0.0881771,0.989626
0.0883676,0.989576
0.0884129,0.989477
0.088237,0.989576
0.0883011,0.989576
0.0885493,0.989428
0.0884475,0.989428
0.0882118,0.989576
0.0882049,0.989576
0.0885071,0.989428
0.0882323,0.989576
0.0883495,0.989576
0.0886308,0.989428
0.0883005,0.989527
0.0882643,0.989576
0.0886673,0.989428
0.0882817,0.989576
0.0882459,0.989576
0.0884542,0.989576
0.0883133,0.989477
0.0882412,0.989576
0.0884067,0.989527
0.0884071,0.989477
0.0882542,0.989576
0.0882304,0.989576
0.0886159,0.989477
0.0882613,0.989576
0.0882786,0.989576
0.0881863,0.989576
0.0884377,0.989477
0.08823,0.989576
0.0886001,0.989428
0.0882776,0.989576
0.0882,0.989576
0.0883571,0.989527
0.0884922,0.989428
0.0881919,0.989576
0.0883882,0.989576
0.0884032,0.989428
0.088243,0.989576
0.0886068,0.989527
0.0882848,0.989576
0.088214,0.989527
0.0884241,0.989576
0.0885888,0.989428
0.0882399,0.989576
0.088322,0.989576
0.0886348,0.989428
0.0882695,0.989576
0.0882434,0.989576
0.088519,0.989477
0.0883111,0.989576
0.0882603,0.989527
0.0885799,0.989477
0.088378,0.989477
0.0882301,0.989576
0.0885145,0.989428
0.0882927,0.989576
0.0886189,0.989477
0.0885451,0.989428
0.0882471,0.989576
0.0881956,0.989576
0.0885497,0.989428
0.0883665,0.989477
0.0881896,0.989576
0.0885491,0.989477
0.0886663,0.989428
0.088244,0.989576
0.0883254,0.989576
0.0884589,0.989477
0.0883161,0.989527
0.0881743,0.989576
0.0884816,0.989477
0.0883582,0.989477
0.0882638,0.989576
0.0882634,0.989576
0.0884754,0.989527
0.0883052,0.989576
0.0882222,0.989576
0.0881687,0.989576
0.088422,0.989428
0.0883195,0.989527
0.0882112,0.989576
0.0882233,0.989576
0.0884366,0.989477
0.0882554,0.989576
0.0882042,0.989626
0.088306,0.989527
0.0882585,0.989576
0.0884759,0.989576
0.0883127,0.989477
0.0882182,0.989626
0.088279,0.989626
0.0883012,0.989675
0.0885861,0.989675
0.0883834,0.989675
0.0882069,0.989675
0.0882494,0.989675
0.0887403,0.989675
0.0883678,0.989675
0.0881784,0.989626
0.0883391,0.989626
0.0888288,0.989675
0.0883167,0.989626
652068,677399,0.962605
