Accuracy,Loss
1,0.01
0.927231,0.914655
0.92807,0.838141
0.926539,0.762371
0.926144,0.694144
0.925551,0.634716
0.924859,0.581705
0.925403,0.534447
0.926144,0.493967
0.926638,0.460135
0.928811,0.431494
0.931726,0.40733
0.934196,0.386658
0.936568,0.368614
0.938099,0.352419
0.940273,0.338139
0.94136,0.325268
0.942644,0.313712
0.943632,0.303207
0.944521,0.293765
0.945114,0.285279
0.946201,0.277464
0.946744,0.270306
0.946843,0.26369
0.947238,0.257579
0.947683,0.251854
0.948177,0.246599
0.948918,0.241662
0.949511,0.23708
0.949857,0.232938
0.950746,0.228911
0.951339,0.22514
0.951783,0.221678
0.95208,0.218452
0.952277,0.2154
0.952524,0.212487
0.952673,0.209649
0.953018,0.206998
0.953414,0.204441
0.953512,0.202029
0.954007,0.199724
640833,677399,0.94602
0.954303,0.197479
0.954402,0.195391
0.955093,0.193422
0.955291,0.191499
0.955736,0.189641
0.95618,0.18792
0.956279,0.186229
0.956526,0.184602
0.956822,0.18306
0.957168,0.181569
0.957366,0.180124
0.957662,0.178738
0.958058,0.177385
0.958255,0.176104
0.95865,0.174892
0.958996,0.173695
0.959194,0.172556
0.959589,0.171414
0.959935,0.170344
0.960231,0.169279
0.960478,0.168241
0.960626,0.167255
0.960725,0.166315
0.960972,0.165373
0.961022,0.164448
0.96112,0.163548
0.961466,0.162673
0.961763,0.161825
0.96201,0.161006
0.962158,0.1602
0.962257,0.15941
0.962306,0.158637
0.962454,0.157888
0.9628,0.157148
0.963047,0.156441
0.963146,0.155746
0.963294,0.155079
0.963393,0.154423
0.963887,0.153762
0.964134,0.153117
645248,677399,0.952538
0.964134,0.15248
0.964233,0.151839
0.964282,0.151218
0.964628,0.150604
0.964826,0.15002
0.965023,0.149441
0.965073,0.148862
0.965073,0.148297
0.965221,0.14772
0.96527,0.147173
0.965468,0.146633
0.965616,0.146098
0.965715,0.145575
0.965912,0.145082
0.96611,0.144578
0.966258,0.144099
0.966406,0.143629
0.966505,0.143128
0.966555,0.142659
0.966653,0.142203
0.966752,0.141754
0.966802,0.141291
0.966901,0.14086
0.96695,0.140427
0.966901,0.139988
0.967049,0.139558
0.967098,0.139145
0.967197,0.13873
0.967197,0.138334
0.967345,0.137938
0.967493,0.137542
0.967691,0.137167
0.96774,0.136783
0.967938,0.13641
0.968037,0.136041
0.968333,0.135678
0.968481,0.135329
0.968531,0.134976
0.968679,0.134631
0.968827,0.134288
647560,677399,0.955951
0.968877,0.133949
0.968827,0.133621
0.968877,0.133301
0.968975,0.13297
0.969173,0.132648
0.969173,0.132324
0.969173,0.132016
0.969173,0.13171
0.969222,0.131406
0.969371,0.131104
0.969321,0.130804
0.96942,0.13051
0.969469,0.130215
0.969469,0.129932
0.969469,0.129644
0.969519,0.129358
0.969519,0.129081
0.969568,0.12881
0.969716,0.128536
0.969815,0.128258
0.969865,0.127991
0.969914,0.127722
0.970112,0.127462
0.970309,0.127203
0.970457,0.126947
0.970457,0.1267
0.970606,0.126448
0.970754,0.126194
0.970853,0.125955
0.970902,0.12572
0.970951,0.125491
0.971001,0.125249
0.971149,0.125018
0.971248,0.124785
0.971198,0.124553
0.971198,0.124329
0.971248,0.124102
0.971347,0.123874
0.971396,0.123646
0.971446,0.123425
648981,677399,0.958048
0.971446,0.123201
0.971643,0.122984
0.971643,0.12278
0.971643,0.122574
0.971742,0.122357
0.971791,0.122149
0.97194,0.121932
0.97189,0.121732
0.971989,0.121522
0.972038,0.121318
0.972187,0.121122
0.972236,0.120924
0.972285,0.120736
0.972285,0.120543
0.972335,0.120343
0.972285,0.120155
0.972434,0.119962
0.972483,0.119771
0.972582,0.119585
0.972779,0.119403
0.972878,0.119234
0.973076,0.119054
0.973175,0.11888
0.973224,0.118705
0.973323,0.118537
0.973471,0.11837
0.973669,0.118204
0.973669,0.118035
0.973718,0.117877
0.973767,0.11771
0.973866,0.117545
0.973965,0.117382
0.973965,0.117236
0.973965,0.117068
0.974014,0.116914
0.974014,0.116758
0.974113,0.116602
0.974212,0.116449
0.974212,0.116296
0.97441,0.116155
649765,677399,0.959206
0.97441,0.116009
0.974508,0.115865
0.974508,0.115711
0.974558,0.115571
0.974558,0.115426
0.974607,0.11529
0.974657,0.115151
0.974755,0.115017
0.974854,0.114879
0.974953,0.114747
0.975151,0.114611
0.9752,0.114478
0.9752,0.114351
0.9752,0.114216
0.975249,0.114081
0.975249,0.113948
0.975249,0.113816
0.975299,0.113686
0.975299,0.11356
0.975447,0.113433
0.975546,0.11331
0.975595,0.113189
0.975694,0.113068
0.975694,0.112948
0.975694,0.112822
0.975793,0.1127
0.975892,0.112582
0.975941,0.112469
0.97604,0.112346
0.97604,0.112237
0.976139,0.112124
0.976139,0.112009
0.976287,0.111902
0.976287,0.111788
0.976336,0.111674
0.976336,0.111557
0.976386,0.111443
0.976386,0.111331
0.976485,0.111222
0.976485,0.111119
650415,677399,0.960165
0.976583,0.111008
0.976732,0.110896
0.976682,0.110788
0.976682,0.110684
0.976682,0.110581
0.976682,0.110477
0.976682,0.110376
0.976732,0.110272
0.97683,0.110173
0.97688,0.11007
0.97683,0.109967
0.97683,0.109863
0.976929,0.10976
0.977028,0.109657
0.977077,0.109555
0.977226,0.109459
0.977127,0.109366
0.977226,0.109274
0.977226,0.109179
0.977275,0.109084
0.977324,0.108989
0.977423,0.108895
0.977473,0.1088
0.977522,0.108708
0.977522,0.108618
0.977571,0.108527
0.977571,0.108438
0.977571,0.108347
0.977571,0.108269
0.97767,0.108178
0.97767,0.108097
0.97772,0.108
0.977769,0.107914
0.97767,0.107828
0.977868,0.107742
0.977917,0.107651
0.977917,0.10757
0.977917,0.10748
0.977967,0.107395
0.978115,0.107313
650822,677399,0.960766
0.978214,0.107233
0.978115,0.107148
0.978214,0.107065
0.978263,0.106987
0.978312,0.106904
0.978312,0.106827
0.978312,0.10675
0.978362,0.106672
0.978312,0.106596
0.97851,0.106516
0.97851,0.106442
0.97851,0.106367
0.978559,0.10629
0.978609,0.106212
0.978609,0.106135
0.978609,0.106058
0.978708,0.105985
0.978757,0.105909
0.978856,0.105836
0.978856,0.10576
0.978905,0.105691
0.978905,0.105615
0.979004,0.105539
0.979004,0.105473
0.979004,0.105402
0.979053,0.10533
0.979103,0.105262
0.979103,0.105187
0.979103,0.105121
0.979152,0.105054
0.979152,0.104984
0.979152,0.104917
0.979251,0.104846
0.979251,0.104778
0.9793,0.104712
0.979498,0.104642
0.979449,0.104577
0.979449,0.104512
0.979547,0.104448
0.979597,0.104383
651164,677399,0.961271
0.979597,0.104319
0.979597,0.104252
0.979597,0.104185
0.979646,0.104125
0.979696,0.104061
0.979696,0.103998
0.979646,0.103938
0.979646,0.103879
0.979646,0.103816
0.979696,0.103753
0.979745,0.103689
0.979745,0.103629
0.979745,0.103568
0.979794,0.103507
0.979794,0.103447
0.979794,0.103388
0.979844,0.10333
0.979943,0.103271
0.980041,0.103213
0.980041,0.103156
0.980041,0.103098
0.980091,0.10304
0.980041,0.102984
0.98019,0.102933
0.980239,0.102873
0.980289,0.10282
0.980289,0.102763
0.980387,0.102709
0.980387,0.102649
0.980338,0.102597
0.980387,0.102546
0.980387,0.102493
0.980437,0.102437
0.980437,0.102385
0.980437,0.102333
0.980387,0.102281
0.980486,0.102224
0.980437,0.102177
0.980486,0.102122
0.980585,0.102069
651327,677399,0.961512
0.980585,0.102018
0.980585,0.101966
0.980585,0.101918
0.980585,0.101869
0.980585,0.101819
0.980585,0.101771
0.980585,0.101715
0.980585,0.101665
0.980634,0.10162
0.980733,0.101571
0.980881,0.101522
0.980881,0.101473
0.980881,0.101423
0.980881,0.101372
0.980881,0.101327
0.980881,0.101283
0.980881,0.101234
0.980881,0.101188
0.980881,0.101139
0.980881,0.101092
0.980881,0.101048
0.980931,0.101004
0.980931,0.100955
0.980931,0.100911
0.98098,0.100864
0.98098,0.100821
0.98103,0.100776
0.981079,0.100732
0.981079,0.100691
0.981128,0.100646
0.981178,0.100608
0.981178,0.100569
0.981227,0.10052
0.981178,0.100478
0.981227,0.100435
0.981227,0.10039
0.981375,0.100352
0.981375,0.100308
0.981375,0.100267
0.981375,0.10023
651547,677399,0.961836
0.981474,0.10019
0.981425,0.100153
0.981425,0.10011
0.981474,0.100071
0.981524,0.10003
0.981573,0.0999971
0.981573,0.0999601
0.981573,0.0999206
0.981573,0.0998864
0.981672,0.0998436
0.981672,0.0998022
0.981672,0.0997635
0.981622,0.0997269
0.981622,0.0996925
0.981672,0.0996578
0.981672,0.0996199
0.981672,0.0995841
0.981771,0.0995467
0.981968,0.0995083
0.981919,0.0994758
0.982018,0.0994404
0.981968,0.0994102
0.982018,0.0993739
0.982018,0.0993425
0.982067,0.0993051
0.982067,0.0992703
0.982116,0.0992372
0.982166,0.0992011
0.982116,0.0991672
0.982215,0.0991341
0.982215,0.099102
0.982215,0.0990704
0.982215,0.0990343
0.982265,0.0990011
0.982265,0.0989699
0.982314,0.0989387
0.982363,0.0989069
0.982512,0.0988717
0.982512,0.0988429
0.98261,0.0988067
651708,677399,0.962074
0.98266,0.0987777
0.982709,0.0987466
0.982759,0.0987142
0.982759,0.0986824
0.982759,0.0986522
0.982808,0.0986204
0.982808,0.0985903
0.982857,0.0985605
0.982857,0.0985335
0.982857,0.098503
0.982857,0.098472
0.982907,0.0984417
0.982907,0.0984113
0.982907,0.0983828
0.982956,0.0983527
0.982956,0.0983215
0.983006,0.0982912
0.983006,0.0982597
0.983055,0.0982301
0.983104,0.0982049
0.983104,0.0981738
0.983154,0.0981441
0.983154,0.0981133
0.983154,0.0980822
0.983154,0.0980585
0.983154,0.0980255
0.983154,0.0979958
0.983104,0.0979689
0.983203,0.0979437
0.983203,0.097913
0.983203,0.0978898
0.983203,0.0978622
0.983203,0.0978327
0.983203,0.0978078
0.983203,0.09778
0.983154,0.0977532
0.983203,0.0977283
0.983203,0.097703
0.983302,0.0976735
0.983253,0.0976486
651846,677399,0.962278
0.983302,0.0976225
0.983351,0.0975969
0.983253,0.0975749
0.983351,0.0975465
0.983401,0.0975208
0.983401,0.0974924
0.9835,0.0974644
0.9835,0.0974396
0.983598,0.0974174
0.983549,0.0973929
0.983598,0.0973691
0.983549,0.0973414
0.9835,0.0973147
0.983549,0.0972911
0.9835,0.0972687
0.983598,0.0972439
0.983598,0.0972219
0.983598,0.0971939
0.983549,0.097173
0.983549,0.09715
0.983598,0.0971248
0.983598,0.0971025
0.983598,0.097078
0.983598,0.0970587
0.983648,0.0970374
0.983648,0.0970139
0.983598,0.0969918
0.983648,0.096968
0.983697,0.0969453
0.983648,0.0969235
0.983697,0.0969008
0.983697,0.0968807
0.983747,0.096861
0.983747,0.0968383
0.983697,0.0968185
0.983648,0.0967934
0.983697,0.0967709
0.983747,0.096751
0.983747,0.0967288
0.983747,0.0967046
651942,677399,0.962419
0.983796,0.0966847
0.983796,0.0966626
0.983796,0.096642
0.983796,0.0966243
0.984043,0.0966062
0.983944,0.0965843
0.983994,0.0965642
0.983994,0.0965441
0.983994,0.0965244
0.984043,0.0965072
0.984043,0.0964864
0.984092,0.0964652
0.984142,0.096444
0.984142,0.0964225
0.984142,0.0964037
0.984191,0.0963849
0.984241,0.0963646
0.984191,0.0963422
0.98429,0.0963241
0.98429,0.0963057
0.98429,0.0962865
0.98429,0.0962689
0.984389,0.0962514
0.984389,0.0962331
0.984389,0.0962161
0.984389,0.0961982
0.984389,0.0961808
0.984389,0.0961631
0.984488,0.0961459
0.984488,0.0961293
0.984488,0.0961095
0.984488,0.0960904
0.984488,0.0960718
0.984488,0.0960549
0.984537,0.0960396
0.984537,0.0960237
0.984537,0.0960067
0.984537,0.0959905
0.984537,0.0959775
0.984636,0.0959632
652031,677399,0.962551
0.984587,0.095946
0.984636,0.0959328
0.984685,0.0959171
0.984685,0.0958988
0.984685,0.095886
0.984636,0.0958712
0.984685,0.095855
0.984636,0.0958391
0.984636,0.0958206
0.984636,0.0958064
0.984685,0.0957921
0.984685,0.0957761
0.984735,0.0957606
0.984735,0.0957449
0.984784,0.0957303
0.984784,0.0957147
0.984784,0.0956997
0.984834,0.0956876
0.984784,0.0956756
0.984784,0.0956605
0.984784,0.0956439
0.984784,0.095629
0.984834,0.0956156
0.984834,0.0956008
0.984883,0.0955884
0.984932,0.095574
0.984932,0.0955613
0.984932,0.0955486
0.984932,0.095535
0.984982,0.0955253
0.984982,0.0955093
0.984982,0.0954948
0.984982,0.0954817
0.985031,0.0954697
0.985031,0.0954573
0.985031,0.0954475
0.985031,0.0954333
0.985031,0.0954192
0.985031,0.0954074
0.985031,0.0953936
652184,677399,0.962777
0.985081,0.0953806
0.98513,0.0953701
0.985081,0.0953586
0.985179,0.0953432
0.985179,0.0953284
0.985179,0.095316
0.985179,0.0953068
0.985179,0.0952934
0.985328,0.0952845
0.985328,0.0952728
0.985328,0.095261
0.985377,0.0952527
0.985328,0.0952379
0.985426,0.0952246
0.985426,0.0952143
0.985426,0.0952029
0.985426,0.0951924
0.985525,0.0951795
0.985476,0.0951706
0.985476,0.0951599
0.985525,0.0951489
0.985476,0.0951387
0.985575,0.0951303
0.985575,0.0951217
0.985575,0.0951132
0.985575,0.0951015
0.985624,0.0950953
0.985624,0.0950818
0.985624,0.0950737
0.985624,0.0950645
0.985673,0.0950546
0.985673,0.0950445
0.985673,0.095039
0.985673,0.0950265
