Accuracy,Loss
0.979152,0.104984
0.979202,0.104917
0.979251,0.104847
0.979251,0.104778
0.979251,0.104713
0.9793,0.104643
0.97935,0.104578
0.97935,0.104513
0.97935,0.104449
0.97935,0.104384
651137,677399,0.961231
0.979449,0.10432
0.979399,0.104253
0.979498,0.104186
0.979498,0.104126
0.979597,0.104062
0.979597,0.104
0.979597,0.10394
0.979547,0.103881
0.979696,0.103818
0.979745,0.103754
0.979646,0.103692
0.979745,0.103631
0.979794,0.103571
0.979893,0.10351
0.979943,0.103449
0.979992,0.103392
0.979992,0.103333
0.980041,0.103274
0.98014,0.103216
0.98014,0.103159
0.98014,0.103101
0.98014,0.103044
0.98014,0.102988
0.98019,0.102936
0.980239,0.102877
0.980289,0.102824
0.980338,0.102766
0.980387,0.102713
0.980387,0.102651
0.980387,0.1026
0.980387,0.102548
0.980387,0.102495
0.980387,0.102439
0.980387,0.102387
0.980437,0.102335
0.980437,0.102283
0.980437,0.102227
0.980437,0.102179
0.980536,0.102124
0.980536,0.102071
651310,677399,0.961487
0.980585,0.10202
0.980536,0.101968
0.980585,0.101919
0.980634,0.101869
0.980684,0.101819
0.980634,0.10177
0.980783,0.101715
0.980783,0.101665
0.980783,0.10162
0.980783,0.101572
0.980783,0.101523
0.980783,0.101474
0.980783,0.101423
0.980783,0.101371
0.980783,0.101326
0.980832,0.101282
0.980881,0.101233
0.980931,0.101189
0.980931,0.10114
0.980931,0.101092
0.980931,0.101049
0.98098,0.101005
0.980931,0.100957
0.980931,0.100913
0.98103,0.100867
0.981079,0.100824
0.981079,0.100779
0.981079,0.100735
0.981128,0.100694
0.981178,0.100649
0.981227,0.10061
0.981227,0.100573
0.981277,0.100523
0.981277,0.100482
0.981277,0.100439
0.981277,0.100394
0.981277,0.100356
0.981375,0.100312
0.981326,0.100271
0.981375,0.100235
651538,677399,0.961823
0.981425,0.100194
0.981425,0.100158
0.981425,0.100115
0.981425,0.100075
0.981573,0.100036
0.981524,0.100002
0.981524,0.0999649
0.981524,0.0999254
0.981622,0.0998916
0.981672,0.0998497
0.981672,0.099808
0.981672,0.09977
0.981672,0.0997336
0.981622,0.0996985
0.981672,0.0996642
0.981672,0.0996266
0.981771,0.0995919
0.981771,0.0995536
0.981869,0.0995167
0.981869,0.0994836
0.981919,0.0994484
0.981919,0.0994169
0.981919,0.0993811
0.981968,0.0993492
0.981968,0.0993122
0.981968,0.0992779
0.982018,0.0992435
0.982067,0.0992086
0.982067,0.0991748
0.982067,0.0991416
0.982067,0.0991095
0.982166,0.0990772
0.982215,0.099041
0.982314,0.0990096
0.982363,0.0989774
0.982363,0.0989461
0.982413,0.0989142
0.982413,0.0988796
0.982462,0.0988506
0.982512,0.0988149
651688,677399,0.962045
0.98261,0.098786
0.982759,0.0987548
0.982709,0.0987222
0.982759,0.0986906
0.982808,0.0986604
0.982857,0.0986284
0.982857,0.0985982
0.982907,0.0985687
0.982907,0.0985416
0.982907,0.0985102
0.982956,0.0984798
0.982956,0.0984496
0.983006,0.0984188
0.983055,0.0983911
0.983006,0.0983606
0.983055,0.098329
0.983055,0.0982987
0.983104,0.0982681
0.983055,0.098238
0.983055,0.0982132
0.983104,0.0981817
0.983104,0.0981508
0.983104,0.0981201
0.983104,0.0980893
0.983154,0.0980656
0.983104,0.0980336
0.983154,0.0980036
0.983154,0.0979768
0.983203,0.0979501
0.983253,0.0979193
0.983302,0.0978971
0.983203,0.0978695
0.983253,0.0978405
0.983253,0.0978152
0.983302,0.0977874
0.983302,0.0977608
0.983302,0.0977351
0.983302,0.09771
0.983302,0.0976808
0.983302,0.0976558
651820,677399,0.962239
0.983302,0.0976297
0.983302,0.0976041
0.983302,0.0975823
0.983351,0.0975527
0.983351,0.0975272
0.983401,0.0974987
0.983401,0.0974702
0.983401,0.0974456
0.98345,0.0974238
0.98345,0.0973995
0.9835,0.0973754
0.9835,0.0973471
0.9835,0.0973203
0.983549,0.0972975
0.983549,0.0972756
0.983549,0.0972501
0.983549,0.0972285
0.983549,0.0972006
0.983549,0.0971795
0.983549,0.0971572
0.983549,0.0971318
0.983598,0.09711
0.983598,0.0970853
0.983648,0.0970655
0.983648,0.0970444
0.983598,0.0970206
0.983697,0.0969987
0.983697,0.0969751
0.983747,0.096952
0.983747,0.0969296
0.983747,0.0969077
0.983796,0.0968878
0.983747,0.096868
0.983796,0.0968451
0.983845,0.0968247
0.983895,0.096801
0.983994,0.0967778
0.983994,0.0967577
0.983994,0.0967352
0.983994,0.096711
651921,677399,0.962388
0.983994,0.0966905
0.984043,0.0966688
0.984043,0.0966483
0.984043,0.0966301
0.984043,0.0966114
0.984142,0.0965894
0.984142,0.0965693
0.984191,0.0965488
0.984191,0.0965297
0.984191,0.0965114
0.984191,0.0964908
0.984191,0.0964701
0.984191,0.0964483
0.984241,0.0964272
0.984191,0.0964075
0.984191,0.0963884
0.984241,0.0963673
0.984191,0.0963459
0.984241,0.0963278
0.984191,0.096309
0.98429,0.0962901
0.98429,0.0962725
0.984389,0.0962545
0.984339,0.0962369
0.984389,0.0962194
0.984438,0.0962009
0.984438,0.0961837
0.984438,0.0961668
0.984488,0.096149
0.984488,0.0961318
0.984537,0.0961128
0.984537,0.0960943
0.984587,0.0960745
0.984636,0.096058
0.984636,0.096043
0.984636,0.0960282
0.984587,0.0960106
0.984636,0.0959941
0.984587,0.0959806
0.984685,0.0959667
652038,677399,0.962561
0.984685,0.0959492
0.984685,0.0959372
0.984685,0.095921
0.984735,0.0959023
0.984735,0.0958898
0.984685,0.0958747
0.984685,0.0958586
0.984685,0.095843
0.984685,0.0958247
0.984685,0.0958098
0.984685,0.0957962
0.984735,0.09578
0.984784,0.0957643
0.984834,0.0957478
0.984834,0.0957329
0.984834,0.0957176
0.984834,0.0957022
0.984834,0.0956903
0.984834,0.0956776
0.984834,0.0956626
0.984834,0.0956463
0.984834,0.0956314
0.984834,0.0956184
