1,0.001,10000
Loss,Accuracy
0.924411,0.485278
0.144924,0.966159
0.119348,0.973866
0.108636,0.977621
0.102531,0.98014
0.098623,0.981672
0.0960828,0.982907
0.0941081,0.983994
0.0929484,0.984587
0.0919752,0.985179
0.0909808,0.985575
0.0905117,0.986217
0.0901718,0.986711
0.0899376,0.987155
0.089377,0.987304
0.089205,0.987402
0.089019,0.987402
0.0888413,0.987798
0.0889522,0.987946
0.0888834,0.987995
0.0888476,0.988094
0.088846,0.98839
0.0887562,0.988193
0.0886886,0.988687
0.0883703,0.988588
0.0883068,0.988687
0.0887369,0.988736
0.0883626,0.988835
0.0883148,0.988884
0.0885254,0.988983
0.0882673,0.988934
0.0882767,0.989033
0.0884727,0.989132
0.088299,0.98923
0.0882221,0.98928
0.0886443,0.989181
0.0882479,0.989329
0.0882399,0.989428
0.0881851,0.989379
0.0885128,0.98928
0.0883391,0.989329
0.0883301,0.989428
0.088641,0.989428
0.0882595,0.989428
0.08818,0.989477
0.0884825,0.989428
0.0885519,0.989428
0.0883173,0.989477
0.0882028,0.989477
0.0882476,0.989527
0.0885035,0.989477
0.0882822,0.989527
0.088201,0.989527
0.0882366,0.989527
0.088431,0.989477
0.0883087,0.989527
0.0881757,0.989527
0.0886382,0.989477
0.0882138,0.989576
0.0882858,0.989576
0.0888627,0.989675
0.088243,0.989576
0.0885472,0.989675
0.0887274,0.989675
0.0883746,0.989675
0.0882236,0.989626
0.0882599,0.989576
0.0887887,0.989675
0.0886513,0.989675
0.088184,0.989576
0.088568,0.989675
0.0886598,0.989675
0.0881835,0.989576
0.0887485,0.989675
0.0882759,0.989626
0.0881714,0.989576
0.0886797,0.989675
0.0883367,0.989626
0.0881771,0.989576
0.0885316,0.989675
0.0888795,0.989675
0.0882459,0.989626
0.0882609,0.989675
0.0885838,0.989675
0.0883981,0.989675
0.0881839,0.989626
0.0882393,0.989675
0.0887643,0.989675
0.0883824,0.989675
0.0883177,0.989626
0.0882249,0.989675
0.0885626,0.989675
0.0883606,0.989675
0.0881881,0.989626
0.0886719,0.989675
0.0883435,0.989675
0.0881948,0.989626
0.0883129,0.989675
0.0889152,0.989675
0.0885704,0.989675
652052,677399,0.962582
